HMDB_ID;CPD_NAME;KEGG_ID;MOL_WEIGHT;CHEM_FORM
HMDB0000001;1-Methylhistidine;C01152;169.1811;C7H11N3O2
HMDB0000002;1,3-Diaminopropane;C00986;74.1249;C3H10N2
HMDB0000005;2-Ketobutyric acid;C00109;102.0886;C4H6O3
HMDB0000008;2-Hydroxybutyric acid;C05984;104.105;C4H8O3
HMDB0000010;2-Methoxyestrone;C05299;300.3921;C19H24O3
HMDB0000011;3-Hydroxybutyric acid;C01089;104.1045;C4H8O3
HMDB0000012;Deoxyuridine;C00526;228.202;C9H12N2O5
HMDB0000014;Deoxycytidine;C00881;227.2172;C9H13N3O4
HMDB0000015;Cortexolone;C05488;346.4605;C21H30O4
HMDB0000016;Deoxycorticosterone;C03205;330.4611;C21H30O3
HMDB0000017;4-Pyridoxic acid;C00847;183.1614;C8H9NO4
HMDB0000019;alpha-Ketoisovaleric acid;C00141;116.1152;C5H8O3
HMDB0000020;p-Hydroxyphenylacetic acid;C00642;152.1473;C8H8O3
HMDB0000021;Iodotyrosine;C02515;307.0851;C9H10INO3
HMDB0000022;3-Methoxytyramine;C05587;167.205;C9H13NO2
HMDB0000023;(S)-3-Hydroxyisobutyric acid;C06001;104.1045;C4H8O3
HMDB0000026;Ureidopropionic acid;C02642;132.1179;C4H8N2O3
HMDB0000027;Tetrahydrobiopterin;C00272;241.2471;C9H15N5O3
HMDB0000030;Biotin;C00120;244.311;C10H16N2O3S
HMDB0000031;Androsterone;C00523;290.4403;C19H30O2
HMDB0000032;7-Dehydrocholesterol;C01164;384.6377;C27H44O
HMDB0000033;Carnosine;C00386;226.2325;C9H14N4O3
HMDB0000034;Adenine;C00147;135.1267;C5H5N5
HMDB0000036;Taurocholic acid;C05122;515.703;C26H45NO7S
HMDB0000037;Aldosterone;C01780;360.444;C21H28O5
HMDB0000038;Dihydrobiopterin;C02953;239.2312;C9H13N5O3
HMDB0000039;Butyric acid;C00246;88.1051;C4H8O2
HMDB0000042;Acetic acid;C00033;60.052;C2H4O2
HMDB0000043;Betaine;C00719;118.1543;C5H12NO2
HMDB0000044;Ascorbic acid;C01041;176.1241;C6H8O6
HMDB0000045;Adenosine monophosphate;C00020;347.2212;C10H14N5O7P
HMDB0000050;Adenosine;C00212;267.2413;C10H13N5O4
HMDB0000051;Ammonia;C00014;17.0305;H3N
HMDB0000052;Argininosuccinic acid;C03406;290.2731;C10H18N4O6
HMDB0000053;Androstenedione;C00280;286.4085;C19H26O2
HMDB0000054;Bilirubin;C00486;584.6621;C33H36N4O6
HMDB0000056;beta-Alanine;C00099;89.0932;C3H7NO2
HMDB0000058;Cyclic AMP;C00575;329.2059;C10H12N5O6P
HMDB0000060;Acetoacetic acid;C00164;102.0886;C4H6O3
HMDB0000062;L-Carnitine;C00318;161.1989;C7H15NO3
HMDB0000063;Cortisol;C00735;362.4599;C21H30O5
HMDB0000064;Creatine;C00300;131.1332;C4H9N3O2
HMDB0000067;Cholesterol;C00187;386.6535;C27H46O
HMDB0000068;Epinephrine;C00788;183.2044;C9H13NO3
HMDB0000070;Pipecolic acid;C00408;129.157;C6H11NO2
HMDB0000071;Deoxyinosine;C05512;252.23;C10H12N4O4
HMDB0000073;Dopamine;C03758;153.1784;C8H11NO2
HMDB0000076;Dihydrouracil;C00429;114.1026;C4H6N2O2
HMDB0000077;Dehydroepiandrosterone;C01227;288.4244;C19H28O2
HMDB0000078;Cysteinylglycine;C01419;178.21;C5H10N2O3S
HMDB0000079;Dihydrothymine;C00906;128.131;C5H8N2O2
HMDB0000085;Deoxyguanosine;C00330;267.2413;C10H13N5O4
HMDB0000086;Glycerophosphocholine;C00670;257.223;C8H20NO6P
HMDB0000087;Dimethylamine;C00543;45.0837;C2H7N
HMDB0000089;Cytidine;C00475;243.2166;C9H13N3O5
HMDB0000092;Dimethylglycine;C01026;103.1198;C4H9NO2
HMDB0000094;Citric acid;C00158;192.1235;C6H8O7
HMDB0000097;Choline;C00114;104.1708;C5H14NO
HMDB0000098;D-Xylose;C00181;150.1299;C5H10O5
HMDB0000099;L-Cystathionine;C02291;222.262;C7H14N2O4S
HMDB0000101;Deoxyadenosine;C00559;251.2419;C10H13N5O3
HMDB0000107;Galactitol;C01697;182.1718;C6H14O6
HMDB0000108;Ethanol;C00469;46.0684;C2H6O
